Geneid	JH01_A01	JH01_A02	JH01_A03	JH01_A04	JH01_A05	JH01_A06	JH02_A01	JH02_A02	JH02_A03	JH02_A04	JH02_A05	JH02_A06	JH01_B01	JH01_B02	JH01_B03	JH01_B04	JH01_B05	JH01_B06	JH02_B01	JH02_B02	JH02_B03	JH02_B04	JH02_B05	JH02_B06	JH01_C01	JH01_C02	JH01_C03	JH01_C04	JH01_C05	JH01_C06	JH02_C01	JH02_C02	JH02_C03	JH02_C04	JH02_C05	JH02_C06
AS_CDS:b0310:ykgH:putative_inner_membrane_protein:cds308:-:668:NC_000913.3	15	14	111	78	12	23	13	70	140	107	12	15	22	18	68	95	19	8	23	37	64	269	4	22	7	25	34	8	10	12	9	16	22	69	18	6
IGR:(CDS,b0310,ykgH,putative_inner_membrane_protein,cds308,-,668/CDS,b0311,betA,choline_dehydrogenase%2C_a_flavoprotein,cds309,-,1670):+:161:NC_000913.3	1	3	3	0	2	3	1	10	1	2	4	3	2	0	5	5	0	2	2	0	2	11	2	2	0	2	10	0	2	1	4	1	0	10	0	0
AS_IGR:(CDS,b0310,ykgH,putative_inner_membrane_protein,cds308,-,668/CDS,b0311,betA,choline_dehydrogenase%2C_a_flavoprotein,cds309,-,1670):+:161:NC_000913.3	33	1	10	27	13	32	16	28	17	17	21	11	34	15	12	22	24	22	20	15	10	36	3	9	16	18	38	14	20	12	18	3	15	30	17	6
CDS:b0311:betA:choline_dehydrogenase%2C_a_flavoprotein:cds309:-:1670:NC_000913.3	350	96	506	557	284	601	355	821	257	364	513	623	433	192	570	735	763	511	268	464	242	691	260	550	266	168	649	225	374	479	254	32	238	815	506	366
AS_CDS:b0311:betA:choline_dehydrogenase%2C_a_flavoprotein:cds309:-:1670:NC_000913.3	20	3	20	14	13	19	18	35	48	38	7	26	21	21	20	12	41	15	29	21	40	30	22	27	25	23	35	5	21	44	35	18	13	38	18	16
CDS:b0312:betB:betaine_aldehyde_dehydrogenase%2C_NAD-dependent:cds310:-:1472:NC_000913.3	454	249	912	876	623	1087	530	1472	513	658	1057	1159	747	349	896	1344	1149	821	433	739	418	1149	435	808	523	319	1014	513	451	897	327	97	356	1348	928	800
AS_CDS:b0312:betB:betaine_aldehyde_dehydrogenase%2C_NAD-dependent:cds310:-:1472:NC_000913.3	15	7	9	24	17	36	21	72	62	39	20	26	41	11	30	34	40	34	35	47	50	23	18	31	36	14	67	32	11	49	15	11	5	35	19	12
CDS:b0313:betI:choline-inducible_betIBA-betT_divergent_operon_transcriptional_repressor:cds311:-:587:NC_000913.3	394	127	910	475	279	827	388	1115	271	467	615	777	613	161	451	909	597	481	333	504	275	791	224	343	616	247	583	316	411	632	237	54	180	974	580	524
AS_CDS:b0313:betI:choline-inducible_betIBA-betT_divergent_operon_transcriptional_repressor:cds311:-:587:NC_000913.3	0	2	5	9	1	17	10	14	4	7	24	12	17	1	4	20	10	10	9	5	14	11	2	4	7	0	9	6	17	7	9	3	5	6	21	2
IGR:(CDS,b0313,betI,choline-inducible_betIBA-betT_divergent_operon_transcriptional_repressor,cds311,-,587/CDS,b0314,betT,choline_transporter_of_high_affinity,cds312,+,2033):+:87:NC_000913.3	26	7	26	11	5	18	19	97	13	6	17	15	36	6	10	23	6	2	24	24	6	20	5	5	40	12	25	12	10	7	19	2	14	52	8	5
AS_IGR:(CDS,b0313,betI,choline-inducible_betIBA-betT_divergent_operon_transcriptional_repressor,cds311,-,587/CDS,b0314,betT,choline_transporter_of_high_affinity,cds312,+,2033):+:87:NC_000913.3	10	6	26	7	6	23	19	39	13	11	22	24	12	3	8	23	11	13	8	10	10	21	4	8	24	11	19	6	16	17	7	1	5	33	26	16
CDS:b0314:betT:choline_transporter_of_high_affinity:cds312:+:2033:NC_000913.3	1361	432	2239	1041	886	1944	1634	4669	1142	1087	1467	1890	2158	508	1349	2060	1701	1306	1641	1874	869	1937	593	934	2079	745	1445	950	932	1808	1291	162	602	2825	1093	1308
AS_CDS:b0314:betT:choline_transporter_of_high_affinity:cds312:+:2033:NC_000913.3	23	13	32	37	114	270	18	46	69	27	31	26	26	14	18	65	194	278	29	21	23	19	12	20	30	12	36	57	125	355	32	21	16	32	36	22
IGR:(CDS,b0314,betT,choline_transporter_of_high_affinity,cds312,+,2033/CDS,b0315,yahA,c-di-GMP-specific_phosphodiesterase,cds313,+,1088):+:823:NC_000913.3	240	82	228	108	102	215	294	473	179	116	179	173	337	68	152	160	212	163	362	214	125	189	71	108	247	148	247	122	98	232	329	52	91	312	137	141
AS_IGR:(CDS,b0314,betT,choline_transporter_of_high_affinity,cds312,+,2033/CDS,b0315,yahA,c-di-GMP-specific_phosphodiesterase,cds313,+,1088):+:823:NC_000913.3	29	27	24	46	194	382	36	41	63	21	40	59	54	17	26	92	268	457	25	37	32	18	8	39	25	18	54	117	264	680	21	10	2	36	19	20
CDS:b0315:yahA:c-di-GMP-specific_phosphodiesterase:cds313:+:1088:NC_000913.3	320	100	125	85	101	173	518	483	553	152	219	260	417	76	221	110	193	133	698	282	383	239	73	109	172	206	312	85	119	178	654	136	135	430	183	139
AS_CDS:b0315:yahA:c-di-GMP-specific_phosphodiesterase:cds313:+:1088:NC_000913.3	31	30	34	18	21	18	54	138	108	42	35	35	75	11	34	15	58	16	58	79	100	30	33	39	82	33	58	22	23	55	26	6	23	45	16	54
CDS:b0316:yahB:putative_DNA-bindng_transcriptional_regulator:cds314:-:932:NC_000913.3	200	251	496	379	286	417	434	1939	1643	777	569	712	336	217	418	437	561	302	422	921	1298	817	367	491	642	191	914	363	200	539	412	130	257	884	351	520
AS_CDS:b0316:yahB:putative_DNA-bindng_transcriptional_regulator:cds314:-:932:NC_000913.3	102	47	58	77	92	178	144	140	153	79	92	113	137	20	73	78	202	225	217	87	112	79	26	46	58	108	170	69	108	193	214	14	45	125	59	24
IGR:(CDS,b0316,yahB,putative_DNA-bindng_transcriptional_regulator,cds314,-,932/CDS,b0317,yahC,putative_inner_membrane_protein,cds315,-,497):+:40:NC_000913.3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	1	0	0	1	0	1	1	0	0	0	1	2	4	0	0	0	1	0	0	0	0	0
AS_IGR:(CDS,b0316,yahB,putative_DNA-bindng_transcriptional_regulator,cds314,-,932/CDS,b0317,yahC,putative_inner_membrane_protein,cds315,-,497):+:40:NC_000913.3	22	12	25	17	20	16	39	123	91	61	31	29	19	11	22	17	28	13	28	33	58	32	17	17	56	16	60	22	12	17	30	11	17	48	32	15
CDS:b0317:yahC:putative_inner_membrane_protein:cds315:-:497:NC_000913.3	3	2	10	4	15	23	18	37	40	18	15	13	10	1	18	11	18	18	17	8	23	25	11	13	9	4	23	5	10	34	18	3	12	13	22	8
AS_CDS:b0317:yahC:putative_inner_membrane_protein:cds315:-:497:NC_000913.3	11	7	0	4	3	6	20	7	9	1	9	0	19	0	2	0	3	5	12	6	3	0	0	1	11	4	19	0	0	1	35	8	1	5	4	0
IGR:(CDS,b0317,yahC,putative_inner_membrane_protein,cds315,-,497/CDS,b0318,yahD,ankyrin_repeat_protein,cds316,+,605):+:216:NC_000913.3	0	0	0	0	0	4	0	3	1	1	1	1	0	0	1	1	2	3	0	1	1	1	1	1	0	0	0	6	0	4	0	0	3	0	4	0
AS_IGR:(CDS,b0317,yahC,putative_inner_membrane_protein,cds315,-,497/CDS,b0318,yahD,ankyrin_repeat_protein,cds316,+,605):+:216:NC_000913.3	2	4	0	0	4	1	11	10	4	4	1	2	1	1	3	1	2	1	5	0	1	2	1	1	1	1	2	0	2	3	0	0	2	3	2	1
CDS:b0318:yahD:ankyrin_repeat_protein:cds316:+:605:NC_000913.3	2	2	23	25	32	89	8	44	32	57	43	97	4	18	51	86	118	62	13	42	51	45	26	75	4	8	30	44	38	128	14	4	27	31	91	37
AS_CDS:b0318:yahD:ankyrin_repeat_protein:cds316:+:605:NC_000913.3	0	0	0	0	0	0	2	6	5	1	0	2	1	0	3	4	2	0	6	2	9	5	3	0	0	1	12	0	11	1	0	0	1	1	3	0
CDS:b0319:yahE:DUF2877_family_protein:cds317:+:863:NC_000913.3	1	0	11	14	18	38	11	15	9	25	12	30	9	2	8	24	38	21	3	12	26	8	22	34	3	4	31	19	15	52	5	4	6	15	23	5
AS_CDS:b0319:yahE:DUF2877_family_protein:cds317:+:863:NC_000913.3	0	1	0	5	0	8	1	9	9	8	3	5	7	3	0	5	12	11	10	0	2	0	0	1	11	0	5	0	0	0	5	1	0	0	0	0
CDS:b0320:yahF:putative_NADP-binding_succinyl-CoA_synthase:cds318:+:1547:NC_000913.3	5	4	11	10	14	53	6	14	22	7	14	35	18	1	6	3	42	34	9	8	18	4	12	11	9	8	35	11	7	21	4	7	14	9	15	10
AS_CDS:b0320:yahF:putative_NADP-binding_succinyl-CoA_synthase:cds318:+:1547:NC_000913.3	7	0	4	4	15	2	6	9	15	21	10	0	14	1	11	6	10	13	16	2	17	3	1	5	5	2	18	7	0	11	0	2	0	14	4	2
CDS:b0321:yahG:DUF1116_family_protein:cds319:+:1418:NC_000913.3	7	3	3	13	25	62	8	16	22	14	6	30	23	4	12	54	57	74	16	23	18	6	14	20	1	12	44	9	11	49	6	2	10	23	14	23
AS_CDS:b0321:yahG:DUF1116_family_protein:cds319:+:1418:NC_000913.3	21	11	33	60	86	309	1	39	18	27	15	10	16	5	32	150	210	272	7	10	13	7	4	12	2	36	107	71	115	356	29	5	17	7	17	2
IGR:(CDS,b0321,yahG,DUF1116_family_protein,cds319,+,1418/CDS,b0323,yahI,carbamate_kinase-like_protein,cds320,+,950):+:370:NC_000913.3	10	15	19	29	50	96	21	25	37	33	11	42	14	5	19	33	91	124	28	17	22	48	16	22	13	8	40	28	29	122	20	6	2	12	10	11
AS_IGR:(CDS,b0321,yahG,DUF1116_family_protein,cds319,+,1418/CDS,b0323,yahI,carbamate_kinase-like_protein,cds320,+,950):+:370:NC_000913.3	6	13	63	68	351	673	28	113	113	46	46	106	6	32	54	326	532	661	27	30	61	60	36	46	18	35	155	158	236	867	21	2	12	41	52	15
CDS:b0323:yahI:carbamate_kinase-like_protein:cds320:+:950:NC_000913.3	1	6	5	15	8	27	1	12	18	1	2	20	22	3	8	13	25	15	4	2	12	4	1	8	2	6	24	5	6	13	5	3	0	4	14	6
AS_CDS:b0323:yahI:carbamate_kinase-like_protein:cds320:+:950:NC_000913.3	9	12	31	16	29	49	16	78	43	54	33	52	31	11	30	34	90	67	28	20	40	47	27	15	20	13	14	18	18	32	39	10	25	30	11	21
CDS:b0324:yahJ:putative_metallo-dependent_hydrolase_domain_deaminase:cds321:+:1382:NC_000913.3	131	44	152	158	161	186	125	361	265	168	205	226	152	116	156	164	272	159	145	258	199	217	75	158	138	115	309	118	84	252	145	97	130	204	198	179
AS_CDS:b0324:yahJ:putative_metallo-dependent_hydrolase_domain_deaminase:cds321:+:1382:NC_000913.3	9	1	8	6	19	22	13	17	12	11	15	4	15	4	4	4	16	17	16	12	9	8	2	16	10	9	29	1	12	23	16	0	7	10	3	5
IGR:(CDS,b0324,yahJ,putative_metallo-dependent_hydrolase_domain_deaminase,cds321,+,1382/CDS,b0325,yahK,broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing,cds322,+,1049):+:325:NC_000913.3	16	5	20	31	34	101	16	25	30	28	39	51	10	20	19	46	94	77	12	34	27	40	11	17	22	17	47	37	46	107	15	11	22	24	26	34
AS_IGR:(CDS,b0324,yahJ,putative_metallo-dependent_hydrolase_domain_deaminase,cds321,+,1382/CDS,b0325,yahK,broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing,cds322,+,1049):+:325:NC_000913.3	0	5	1	1	13	6	2	10	18	8	3	0	1	7	2	2	6	1	7	1	3	0	0	2	6	3	6	0	12	6	3	0	1	20	0	6
CDS:b0325:yahK:broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing:cds322:+:1049:NC_000913.3	62	67	234	466	2693	6736	109	231	178	128	224	270	103	116	234	2365	6523	6522	74	115	105	249	88	210	74	167	799	1940	2832	7909	97	42	87	318	255	268
AS_CDS:b0325:yahK:broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing:cds322:+:1049:NC_000913.3	37	15	18	17	4	8	29	20	69	49	28	28	22	8	19	22	8	9	38	20	44	14	3	14	13	19	67	24	6	66	55	13	17	61	32	23
IGR:(CDS,b0325,yahK,broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing,cds322,+,1049/CDS,b0326,yahL,uncharacterized_protein,cds323,+,815):+:191:NC_000913.3	11	3	25	100	536	1307	13	24	9	16	10	22	17	9	32	465	1180	1283	9	16	7	27	13	35	6	33	116	421	667	1697	13	4	11	25	27	21
AS_IGR:(CDS,b0325,yahK,broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing,cds322,+,1049/CDS,b0326,yahL,uncharacterized_protein,cds323,+,815):+:191:NC_000913.3	0	0	0	2	1	0	0	0	2	0	3	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
CDS:b0326:yahL:uncharacterized_protein:cds323:+:815:NC_000913.3	16	4	6	2	10	38	22	11	18	22	11	2	24	1	9	13	38	36	9	13	13	3	2	13	3	5	26	14	23	36	11	5	6	9	4	29
AS_CDS:b0326:yahL:uncharacterized_protein:cds323:+:815:NC_000913.3	0	0	6	0	0	5	0	2	10	0	0	5	4	1	0	2	0	0	4	0	3	1	0	0	0	5	2	0	0	0	1	0	0	0	0	1
IGR:(CDS,b0326,yahL,uncharacterized_protein,cds323,+,815/CDS,b0327,yahM,uncharacterized_protein,cds324,+,245):+:361:NC_000913.3	281	123	161	120	93	255	475	308	478	204	162	173	391	72	108	144	212	214	320	118	160	84	43	112	113	234	1035	104	204	388	387	123	372	290	143	65
AS_IGR:(CDS,b0326,yahL,uncharacterized_protein,cds323,+,815/CDS,b0327,yahM,uncharacterized_protein,cds324,+,245):+:361:NC_000913.3	11	4	2	1	1	6	21	5	2	6	2	3	24	9	0	8	10	4	12	0	1	3	0	4	9	4	18	4	0	8	5	0	1	1	0	3
CDS:b0327:yahM:uncharacterized_protein:cds324:+:245:NC_000913.3	219	75	99	86	44	52	453	269	383	152	100	102	314	60	74	56	80	54	303	82	134	66	33	80	93	174	687	48	76	100	301	74	217	174	83	41
AS_CDS:b0327:yahM:uncharacterized_protein:cds324:+:245:NC_000913.3	62	139	199	175	215	476	77	839	888	402	575	716	75	57	104	128	277	247	78	199	377	252	130	296	123	131	340	137	120	316	159	48	139	358	375	348
CDS:b0328:yahN:amino_acid_exporter_for_proline%2C_lysine%2C_glutamate%2C_homoserine:cds325:-:671:NC_000913.3	52	158	280	240	178	216	266	1348	1353	727	383	665	144	84	272	230	442	163	240	481	932	457	228	571	237	100	387	138	166	295	225	80	128	440	374	501
AS_CDS:b0328:yahN:amino_acid_exporter_for_proline%2C_lysine%2C_glutamate%2C_homoserine:cds325:-:671:NC_000913.3	27	10	3	13	10	2	42	16	49	21	11	8	45	15	1	1	8	11	40	24	25	6	7	7	22	19	65	10	6	10	23	7	12	20	10	13
IGR:(CDS,b0328,yahN,amino_acid_exporter_for_proline%2C_lysine%2C_glutamate%2C_homoserine,cds325,-,671/CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275):+:105:NC_000913.3	0	5	16	40	480	828	2	5	13	7	17	10	4	6	19	243	1423	847	4	3	8	11	5	16	3	12	93	291	357	1048	1	1	3	11	17	18
AS_IGR:(CDS,b0328,yahN,amino_acid_exporter_for_proline%2C_lysine%2C_glutamate%2C_homoserine,cds325,-,671/CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275):+:105:NC_000913.3	4	3	0	7	10	4	2	3	2	2	0	0	1	1	0	5	9	9	6	0	0	0	0	1	3	0	1	4	11	16	2	0	0	1	1	1
CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3	44	139	306	863	8798	16836	95	234	236	148	312	338	72	153	399	5113	27070	18883	72	86	157	221	146	330	52	242	1760	5826	8191	19942	57	38	86	200	273	320
AS_CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3	0	0	18	2	52	75	6	17	12	4	15	22	8	5	9	88	100	55	3	1	14	2	5	6	1	0	35	91	59	112	1	9	9	3	19	3
IGR:(CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275/CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586):+:36:NC_000913.3	3	8	25	89	1037	1755	8	13	20	15	31	30	5	11	41	541	2813	2202	4	9	13	22	18	32	7	16	189	590	935	2150	9	8	10	18	29	23
AS_IGR:(CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275/CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586):+:36:NC_000913.3	0	0	4	1	17	19	0	3	2	1	1	4	0	1	1	19	26	12	0	0	1	2	1	3	0	0	5	16	4	16	0	0	1	1	2	2
CDS:b0330:prpR:propionate_catabolism_operon_regulatory_protein:cds327:-:1586:NC_000913.3	0	16	204	105	695	1055	18	164	49	42	167	232	11	14	91	1145	1096	501	16	79	23	173	62	150	45	20	182	708	464	776	18	8	11	151	177	169
AS_CDS:b0330:prpR:propionate_catabolism_operon_regulatory_protein:cds327:-:1586:NC_000913.3	4	35	77	174	1901	3254	53	49	96	59	78	81	29	33	94	1030	4999	3909	28	35	43	60	41	64	30	44	391	1037	1684	3859	27	5	24	45	76	57
IGR:(CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586/CDS,b0331,prpB,2-methylisocitrate_lyase,cds328,+,890):+:197:NC_000913.3	1	2	3	1	2	1	1	1	5	2	1	4	2	0	1	5	5	2	2	5	6	3	2	4	3	0	6	2	2	2	4	0	0	1	0	4
AS_IGR:(CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586/CDS,b0331,prpB,2-methylisocitrate_lyase,cds328,+,890):+:197:NC_000913.3	0	0	3	1	15	21	3	6	1	1	2	4	0	0	0	21	11	4	1	2	0	4	1	6	1	0	19	14	10	8	1	0	1	2	3	4
CDS:b0331:prpB:2-methylisocitrate_lyase:cds328:+:890:NC_000913.3	0	2	7	8	16	156	12	27	6	18	7	1	3	1	0	54	146	178	2	32	2	3	3	7	10	11	12	16	49	229	4	0	9	7	1	2
AS_CDS:b0331:prpB:2-methylisocitrate_lyase:cds328:+:890:NC_000913.3	14	14	16	26	6	46	39	51	66	22	25	18	22	9	28	33	37	24	16	46	29	25	23	27	21	10	31	14	7	35	25	4	20	20	7	17
IGR:(CDS,b0331,prpB,2-methylisocitrate_lyase,cds328,+,890/CDS,b0333,prpC,2-methylcitrate_synthase,cds329,+,1169):+:388:NC_000913.3	7	3	13	19	38	131	11	41	24	23	11	3	31	9	11	19	123	137	13	13	20	13	2	8	9	6	22	6	94	116	15	8	13	13	7	10
AS_IGR:(CDS,b0331,prpB,2-methylisocitrate_lyase,cds328,+,890/CDS,b0333,prpC,2-methylcitrate_synthase,cds329,+,1169):+:388:NC_000913.3	43	33	57	103	111	146	60	183	178	105	79	36	101	26	74	83	137	106	65	101	170	124	20	57	47	44	126	32	56	67	87	40	54	51	58	38
CDS:b0333:prpC:2-methylcitrate_synthase:cds329:+:1169:NC_000913.3	0	0	11	29	62	236	12	22	42	20	9	9	15	4	24	20	168	201	14	5	19	16	9	14	0	8	2	10	156	217	3	2	2	27	29	3
AS_CDS:b0333:prpC:2-methylcitrate_synthase:cds329:+:1169:NC_000913.3	12	18	20	31	28	30	32	61	52	32	29	38	32	10	28	15	26	35	12	37	26	23	15	4	21	16	44	11	29	46	16	12	11	22	18	22
CDS:b0334:prpD:2-methylcitrate_dehydratase:cds330:+:1451:NC_000913.3	7	3	3	8	20	151	5	2	3	4	14	4	9	2	1	3	140	166	0	2	6	3	4	7	6	1	5	15	112	200	1	2	0	9	5	0
AS_CDS:b0334:prpD:2-methylcitrate_dehydratase:cds330:+:1451:NC_000913.3	2	3	18	13	8	8	17	16	4	17	20	19	12	0	1	5	12	27	17	11	31	16	6	10	3	11	24	13	14	9	10	2	11	10	2	8
CDS:b0335:prpE:propionate--CoA_ligase:cds331:+:1886:NC_000913.3	47	15	56	56	71	252	78	164	106	78	90	108	72	28	44	76	221	329	79	85	59	55	33	57	34	58	72	53	153	363	38	48	34	33	69	63
AS_CDS:b0335:prpE:propionate--CoA_ligase:cds331:+:1886:NC_000913.3	94	49	96	138	61	103	79	216	158	188	100	123	80	49	54	65	81	84	104	67	98	76	31	56	61	16	191	49	80	115	123	53	109	70	60	92
IGR:(CDS,b0335,prpE,propionate--CoA_ligase,cds331,+,1886/CDS,b0336,codB,cytosine_transporter,cds332,+,1259):+:278:NC_000913.3	10	11	18	18	19	76	7	32	47	26	15	10	29	9	15	27	35	72	26	12	13	7	3	4	3	4	70	12	37	103	16	6	17	14	2	19
AS_IGR:(CDS,b0335,prpE,propionate--CoA_ligase,cds331,+,1886/CDS,b0336,codB,cytosine_transporter,cds332,+,1259):+:278:NC_000913.3	14	27	11	60	124	193	20	59	69	85	85	91	19	9	29	138	199	205	18	15	33	73	21	53	11	49	80	116	97	339	37	46	32	80	106	53
CDS:b0336:codB:cytosine_transporter:cds332:+:1259:NC_000913.3	368	217	160	4451	197	117	421	197	1029	8737	849	131	415	111	153	122	289	117	423	147	849	570	132	107	83	416	28352	127	88	131	386	275	4210	471	91	171
AS_CDS:b0336:codB:cytosine_transporter:cds332:+:1259:NC_000913.3	11	2	5	10	14	16	6	46	29	7	7	22	14	11	3	6	11	22	48	24	43	11	3	10	20	1	36	12	14	22	8	3	3	7	11	8
CDS:b0337:codA:cytosine/isoguanine_deaminase:cds333:+:1283:NC_000913.3	338	241	373	7310	421	380	517	544	1642	12350	1313	457	524	205	345	344	810	353	533	407	1498	1164	350	361	201	698	28898	197	170	449	488	354	3739	753	300	375
AS_CDS:b0337:codA:cytosine/isoguanine_deaminase:cds333:+:1283:NC_000913.3	68	25	85	34	78	127	42	99	298	66	32	63	61	15	50	82	145	128	56	37	155	28	14	50	31	69	19	24	52	101	57	27	12	12	35	22
IGR:(CDS,b0337,codA,cytosine/isoguanine_deaminase,cds333,+,1283/CDS,b0338,cynR,transcriptional_activator_of_cyn_operon%3B_autorepressor,cds334,-,899):+:275:NC_000913.3	154	77	132	2626	149	216	186	271	585	3962	422	181	168	69	175	123	304	174	247	139	474	343	84	123	107	274	9956	120	85	174	207	129	1297	241	131	134
AS_IGR:(CDS,b0337,codA,cytosine/isoguanine_deaminase,cds333,+,1283/CDS,b0338,cynR,transcriptional_activator_of_cyn_operon%3B_autorepressor,cds334,-,899):+:275:NC_000913.3	93	84	117	71	250	476	141	328	393	136	76	133	137	51	118	204	518	422	135	95	176	84	60	88	65	108	130	133	156	420	92	20	32	97	68	60
CDS:b0338:cynR:transcriptional_activator_of_cyn_operon%3B_autorepressor:cds334:-:899:NC_000913.3	35	56	68	77	57	87	76	129	108	78	88	93	50	42	62	64	93	67	60	58	66	75	32	71	25	42	125	38	32	60	41	24	42	124	67	62
AS_CDS:b0338:cynR:transcriptional_activator_of_cyn_operon%3B_autorepressor:cds334:-:899:NC_000913.3	33	19	32	95	36	52	57	112	78	167	44	30	60	19	56	28	39	45	52	47	71	36	17	17	20	42	616	14	30	50	40	18	95	47	30	27
IGR:(CDS,b0338,cynR,transcriptional_activator_of_cyn_operon%3B_autorepressor,cds334,-,899/CDS,b0339,cynT,carbonic_anhydrase,cds335,+,659):+:67:NC_000913.3	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	1	1	4	0	0	2	0	0	0	0	0	2	1	0	3	0	0	0	1	0	0
AS_IGR:(CDS,b0338,cynR,transcriptional_activator_of_cyn_operon%3B_autorepressor,cds334,-,899/CDS,b0339,cynT,carbonic_anhydrase,cds335,+,659):+:67:NC_000913.3	2	4	1	4	1	3	4	6	2	5	5	3	2	1	1	2	3	5	2	3	5	2	1	7	3	2	6	0	1	3	3	1	5	2	1	0
CDS:b0339:cynT:carbonic_anhydrase:cds335:+:659:NC_000913.3	5	6	1	6	4	15	9	17	11	13	8	15	8	6	10	14	12	29	0	6	19	6	4	6	3	8	27	10	6	33	5	5	2	5	0	10
AS_CDS:b0339:cynT:carbonic_anhydrase:cds335:+:659:NC_000913.3	13	16	19	29	19	28	49	64	68	42	41	33	30	12	23	40	28	27	21	27	44	30	27	30	20	31	80	5	20	36	32	13	26	42	3	36
CDS:b0340:cynS:cyanate_aminohydrolase:cds336:+:470:NC_000913.3	5	12	30	40	7	30	13	22	39	35	16	45	7	18	18	13	37	40	34	24	21	17	10	27	12	28	43	11	3	29	13	14	13	10	20	12
AS_CDS:b0340:cynS:cyanate_aminohydrolase:cds336:+:470:NC_000913.3	18	10	7	6	8	15	18	30	40	20	10	15	8	0	8	9	12	8	8	12	10	10	7	10	12	9	31	0	5	32	27	1	5	23	0	14
CDS:b0341:cynX:putative_cyanate_transporter:cds337:+:1154:NC_000913.3	58	30	82	53	73	127	57	156	119	73	122	101	60	57	56	65	98	128	105	99	126	71	20	44	50	47	100	26	39	82	68	26	24	49	43	61
AS_CDS:b0341:cynX:putative_cyanate_transporter:cds337:+:1154:NC_000913.3	6	10	12	24	14	25	63	66	40	44	27	51	50	10	27	12	20	31	14	30	39	40	13	14	21	3	10	13	38	56	22	8	12	11	24	33
IGR:(CDS,b0341,cynX,putative_cyanate_transporter,cds337,+,1154/CDS,b0342,lacA,thiogalactoside_acetyltransferase,cds338,-,611):+:41:NC_000913.3	2	2	1	1	3	3	2	3	6	2	3	4	1	2	2	0	3	4	4	2	2	1	0	1	1	1	2	1	2	3	3	0	0	4	2	0
AS_IGR:(CDS,b0341,cynX,putative_cyanate_transporter,cds337,+,1154/CDS,b0342,lacA,thiogalactoside_acetyltransferase,cds338,-,611):+:41:NC_000913.3	1	1	0	1	4	4	4	8	3	3	0	7	1	2	1	2	4	4	0	2	2	1	2	2	1	0	2	3	2	4	1	0	1	1	1	4
CDS:b0342:lacA:thiogalactoside_acetyltransferase:cds338:-:611:NC_000913.3	12	8	25	5	30	36	21	38	21	34	41	57	21	14	5	20	53	66	14	19	25	21	8	45	3	21	43	31	20	51	34	3	16	23	37	25
AS_CDS:b0342:lacA:thiogalactoside_acetyltransferase:cds338:-:611:NC_000913.3	12	4	6	4	14	21	9	11	15	15	16	17	8	7	3	5	15	9	34	17	14	2	5	5	1	6	17	4	7	11	13	0	6	19	9	0
IGR:(CDS,b0342,lacA,thiogalactoside_acetyltransferase,cds338,-,611/CDS,b0343,lacY,lactose_permease,cds339,-,1253):+:14:NC_000913.3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AS_IGR:(CDS,b0342,lacA,thiogalactoside_acetyltransferase,cds338,-,611/CDS,b0343,lacY,lactose_permease,cds339,-,1253):+:14:NC_000913.3	0	0	1	0	1	1	1	1	1	1	2	1	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	2	0	1
CDS:b0343:lacY:lactose_permease:cds339:-:1253:NC_000913.3	27	13	24	9	58	59	28	74	83	56	55	72	14	11	16	41	51	57	35	30	23	24	23	52	16	23	54	25	33	46	46	22	20	49	29	63
AS_CDS:b0343:lacY:lactose_permease:cds339:-:1253:NC_000913.3	12	0	26	18	21	11	21	23	25	29	18	41	25	9	11	30	45	28	20	32	17	20	19	31	15	27	40	11	39	21	13	4	4	21	19	49
